Fiscal_Year,Location,S1: Label a: FY14 Revised Base ,S1: Label b: FSF & TL 09 C4E CTT ,S1: Label c: FSF Over Formula,S2: Label d: FSF Preliminary,S2: Label a: FY14 Revised Base,S2: Label f: Register Change,S2: Label g: Teacher Salary Growth,S2: Label h: New School Foundation,S3: Label i: FY14 FSF at 100%,S3: Foundation  ,S3: Label d - Foundation,S3: Label i - Foundation,S3: Label j: FSF Final%,S4: Label d: FY14 FSF Initial,S4: AC Name: FSF (HS),S4: AC Name: TL09 C4E CTT (HS),S4: AC Name: Funds Over Formula,S5: TL SE Transitional Funding,As_Of_Date
2015,K001,5957603.00,5957603.00,0.00,5858476.18,5957603.00,-99126.82,0.00,0.00,7081416.99,225000.00,5633476.18,6856416.99,0.8216,5858476.00,5858476.00,0.00,0.00,0.00,05/29/2014
2015,K002,2565500.00,2565500.00,0.00,2514000.62,2565500.00,-51499.38,0.00,0.00,3037276.59,225000.00,2289000.62,2812276.59,0.8139,2514001.00,2514001.00,0.00,0.00,104611.00,05/29/2014
2015,K003,2364807.00,2364807.00,0.00,2176535.16,2364807.00,-188271.84,0.00,0.00,2450195.30,225000.00,1951535.16,2225195.30,0.877,2176535.00,2104797.00,71738.00,0.00,37397.00,05/29/2014
2015,K005,1711158.00,1711158.00,0.00,1589001.81,1711158.00,-122156.19,0.00,0.00,1707282.85,225000.00,1364001.81,1482282.85,0.9202,1589002.00,1589002.00,0.00,0.00,18339.00,05/29/2014
2015,K006,3771012.00,3771012.00,0.00,3634372.42,3771012.00,-136639.58,0.00,0.00,4124758.11,225000.00,3409372.42,3899758.11,0.8743,3634373.00,3562635.00,71738.00,0.00,15830.00,05/29/2014
2015,K007,4782292.00,4782292.00,0.00,4770204.36,4782292.00,-12087.64,0.00,0.00,5763700.52,225000.00,4545204.36,5538700.52,0.8206,4770205.00,4770205.00,0.00,0.00,23172.00,05/29/2014
2015,K008,3578829.00,3578829.00,0.00,4014764.53,3578829.00,435935.53,0.00,0.00,4701192.14,225000.00,3789764.53,4476192.14,0.8466,4014765.00,4014765.00,0.00,0.00,0.00,05/29/2014
2015,K009,3065347.00,3065347.00,0.00,3197867.30,3065347.00,132520.30,0.00,0.00,3771140.74,225000.00,2972867.30,3546140.74,0.8383,3197867.00,3197867.00,0.00,0.00,61339.00,05/29/2014
2015,K010,4345806.00,4345806.00,0.00,4354146.06,4345806.00,8340.06,0.00,0.00,5171803.29,225000.00,4129146.06,4946803.29,0.8347,4354146.00,4354146.00,0.00,0.00,4066.00,05/29/2014
2015,K011,3268172.00,3268172.00,0.00,3401865.35,3268172.00,133693.35,0.00,0.00,3569565.49,225000.00,3176865.35,3344565.49,0.9499,3401865.00,3401865.00,0.00,0.00,0.00,05/29/2014
2015,K012,1320089.00,1225590.00,94499.00,1399964.16,1320089.00,79875.16,0.00,0.00,1305464.42,225000.00,1174964.16,1080464.42,1.0875,1399965.00,1305466.00,0.00,94499.00,65316.00,05/29/2014
2015,K013,2772507.00,2751326.00,21181.00,2818464.18,2772507.00,45957.18,0.00,0.00,2797282.47,225000.00,2593464.18,2572282.47,1.0082,2818464.00,2725545.00,71738.00,21181.00,0.00,05/29/2014
2015,K014,3451296.00,3451296.00,0.00,3285256.73,3451296.00,-166039.27,0.00,0.00,4003095.17,225000.00,3060256.73,3778095.17,0.81,3285257.00,3213519.00,71738.00,0.00,138903.00,05/29/2014
2015,K015,2182803.00,2182803.00,0.00,2094993.38,2182803.00,-87809.62,0.00,0.00,2371113.82,225000.00,1869993.38,2146113.82,0.8713,2094994.00,2023256.00,71738.00,0.00,30171.00,05/29/2014
2015,K016,1264949.00,1264949.00,0.00,1213690.24,1264949.00,-51258.76,0.00,0.00,1434352.52,225000.00,988690.24,1209352.52,0.8175,1213690.00,1206516.00,7174.00,0.00,73210.00,05/29/2014
2015,K017,1971352.00,1971352.00,0.00,1784799.45,1971352.00,-186552.55,0.00,0.00,2031503.98,225000.00,1559799.45,1806503.98,0.8634,1784800.00,1641324.00,143476.00,0.00,67306.00,05/29/2014
2015,K018,1086564.00,1086564.00,0.00,1095202.43,1086564.00,8638.43,0.00,0.00,1275505.33,225000.00,870202.43,1050505.33,0.8284,1095202.00,1095202.00,0.00,0.00,28191.00,05/29/2014
2015,K019,773834.00,773834.00,0.00,515595.82,773834.00,-258238.18,0.00,0.00,583760.25,225000.00,290595.82,358760.25,0.81,515596.00,515596.00,0.00,0.00,27294.00,05/29/2014
2015,K020,1712579.00,1712579.00,0.00,1871194.24,1712579.00,158615.24,0.00,0.00,1963245.15,225000.00,1646194.24,1738245.15,0.947,1871194.00,1871194.00,0.00,0.00,96278.00,05/29/2014
2015,K021,2869802.00,2869802.00,0.00,2937744.73,2869802.00,67942.73,0.00,0.00,3477600.51,225000.00,2712744.73,3252600.51,0.834,2937744.00,2937744.00,0.00,0.00,0.00,05/29/2014
2015,K023,1339281.00,1339281.00,0.00,1354063.33,1339281.00,14782.33,0.00,0.00,1618904.38,225000.00,1129063.33,1393904.38,0.81,1354063.00,1354063.00,0.00,0.00,70310.00,05/29/2014
2015,K024,3658244.00,3658244.00,0.00,3658149.49,3658244.00,-94.51,0.00,0.00,4463456.86,225000.00,3433149.49,4238456.86,0.81,3658149.00,3514673.00,143476.00,0.00,0.00,05/29/2014
2015,K025,2337150.00,1422529.00,914621.00,2255881.63,2337150.00,-81268.37,0.00,0.00,1341260.29,225000.00,2030881.63,1116260.29,1.8194,2255881.00,1341260.00,0.00,914621.00,55267.00,05/29/2014
2015,K026,1379688.00,1379688.00,0.00,1291531.12,1379688.00,-88156.88,0.00,0.00,1457990.85,225000.00,1066531.12,1232990.85,0.865,1291531.00,1219793.00,71738.00,0.00,44232.00,05/29/2014
2015,K028,1808511.00,1446755.00,361756.00,1741017.45,1808511.00,-67493.55,0.00,0.00,1379260.95,225000.00,1516017.45,1154260.95,1.3134,1741018.00,1350567.00,28695.00,361756.00,35621.00,05/29/2014
2015,K029,3280628.00,3280628.00,0.00,3471221.23,3280628.00,190593.23,0.00,0.00,4103822.53,225000.00,3246221.23,3878822.53,0.8369,3471221.00,3471221.00,0.00,0.00,6316.00,05/29/2014
2015,K030,2879051.00,2879051.00,0.00,3466343.75,2879051.00,587292.75,0.00,0.00,3668141.90,225000.00,3241343.75,3443141.90,0.9414,3466343.00,3380257.00,86086.00,0.00,0.00,05/29/2014
